app,start,duration,query,range
1,540000,55947,q10,d_year = 2000 and d_moy = 1
1,540000,61992,q1,d_year = 2000 and d_moy between 1 and 4
1,540000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,540000,55495,q12,d_year = 2000 and d_moy between 1 and 11
1,540000,48816,q13,d_year = 2000 and d_moy between 1 and 6
1,540000,45807,q10,d_date = cast('2000-04-30' as date)
1,540000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,630000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,630000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
2,630000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,630000,48375,q7,d_year = 2000 and d_moy between 1 and 10
2,630000,51025,q1,d_year = 2000 and d_moy between 1 and 3
2,630000,53930,q13,d_year = 2000 and d_moy between 1 and 7
2,630000,61992,q1,d_year = 2000 and d_moy between 1 and 4
0,720000,48375,q7,d_year = 2000 and d_moy between 1 and 10
0,720000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,720000,53930,q13,d_year = 2000 and d_moy between 1 and 7
0,720000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
0,720000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,720000,48816,q13,d_year = 2000 and d_moy between 1 and 6
0,720000,51025,q1,d_year = 2000 and d_moy between 1 and 3
0,720000,55947,q10,d_year = 2000 and d_moy = 1
0,720000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,810000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,810000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,810000,47922,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week))
1,810000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
1,810000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,810000,48375,q7,d_year = 2000 and d_moy between 1 and 10
1,810000,51025,q1,d_year = 2000 and d_moy between 1 and 3
1,810000,53930,q13,d_year = 2000 and d_moy between 1 and 7
1,810000,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,900000,55947,q10,d_year = 2000 and d_moy = 1
2,900000,61344,q12,d_year = 2000
2,900000,48816,q13,d_year = 2000 and d_moy between 1 and 6
2,900000,59893,q7,d_year = 2000 and d_moy between 1 and 11
2,900000,61344,q12,d_year = 2000
2,900000,61992,q1,d_year = 2000 and d_moy between 1 and 4
2,900000,61344,q12,d_year = 2000
2,900000,46335,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week))
2,900000,59893,q7,d_year = 2000 and d_moy between 1 and 11
